evening,evening
evening,great evening
evening,hey good evening
evening,hey spawn good evening
greet,how are you
greet,hey how are you
greet,how are you doing
greet,are you doing ok
spawn_name,what is your name
spawn_name,your name
spawn_name,can you tell me your name
spawn_name,tell me your name
skills,what can you do
skills,what skills do you have
skills,what things you can do
skills,how can you help me
skills,what are your skills
skills,things you do
hello,hey hi
hello,hello
hello,hello spawn
hello,heya
hello,heya spawn
hello,hey spawn
morning,hey spawn good morning
morning,good morning
morning,morning
morning,good morning spawn
morning,great morning
morning,hey good morning
afternoon,hey spawn good afternoon
afernoon,good afternoon
afternoon,good afternoon spawn
afternoon,great afternoon
afternoon,hey good afternoon
identity,who is professor
identity,who are you
identity,about you
identity,i dont know you
identity dont know you,who is professor spawn
greet_reply,i am fantastic
greet_reply,i am doing fine
greet_reply,i am doing good
greet_reply,good
greet_reply,i am doing great
greet_reply,great
